Date,Title,Amount,Type,Category,Account
2025-07-07,BPJS,142123,EXPENSE,tagihan,Dompet Tunai
2025-07-07,Tissue,705363,EXPENSE,belanja,Gopay
2025-07-07,Streaming,659045,EXPENSE,hiburan,Gopay
2025-07-07,Jajan Sore,534478,EXPENSE,makan & minum,BCA
2025-07-08,Bonus,18219991,INCOME,gaji,Dompet Tunai
2025-07-08,Lain-lain,1762693,EXPENSE,lain-lain,BCA
2025-07-08,Belanja Mingguan,1733867,EXPENSE,belanja,Dompet Tunai
2025-07-08,Pulsa,972748,EXPENSE,tagihan,Gopay
2025-07-08,Lain-lain,1452919,EXPENSE,lain-lain,BCA
2025-07-08,Insentif,28872405,INCOME,gaji,Gopay
2025-07-08,Kopi Pagi,226095,EXPENSE,makan & minum,Gopay
2025-07-08,Tabungan,30134576,INCOME,goals,Gopay
2025-07-09,Pulsa,70791,EXPENSE,tagihan,Gopay
2025-07-09,Biaya Admin,1816782,EXPENSE,lain-lain,Dompet Tunai
2025-07-09,Main Ke Mall,67453,EXPENSE,hiburan,Dompet Tunai
2025-07-09,Cashback,967626,INCOME,goals,Dompet Tunai
2025-07-09,Top up Game,443515,EXPENSE,hiburan,Gopay
2025-07-09,Indomaret,1408736,EXPENSE,belanja,Dompet Tunai
2025-07-09,Makan Malam,812551,EXPENSE,makan & minum,BCA
2025-07-09,Lain-lain,916392,EXPENSE,lain-lain,Gopay
2025-07-09,Main Ke Mall,624577,EXPENSE,hiburan,Gopay
2025-07-09,Bioskop,1479685,EXPENSE,hiburan,Gopay
2025-07-09,Kopi Pagi,1373655,EXPENSE,makan & minum,Dompet Tunai
2025-07-10,Top up Game,101187,EXPENSE,hiburan,Dompet Tunai
2025-07-10,Alfamart,714281,EXPENSE,belanja,BCA
2025-07-10,Makan Siang,1505257,EXPENSE,makan & minum,BCA
2025-07-10,Biaya Admin,1480878,EXPENSE,lain-lain,BCA
2025-07-10,Listrik,1486781,EXPENSE,tagihan,Dompet Tunai
2025-07-10,Makan Siang,240607,EXPENSE,makan & minum,Gopay
2025-07-11,Kebutuhan Pokok,1309764,EXPENSE,belanja,Gopay
2025-07-11,Makan Siang,288972,EXPENSE,makan & minum,Gopay
2025-07-11,Bioskop,1842246,EXPENSE,hiburan,Gopay
2025-07-11,Cemilan,1787634,EXPENSE,makan & minum,BCA
2025-07-11,Parkir,1201023,EXPENSE,tagihan,BCA
2025-07-11,Makan Malam,993247,EXPENSE,makan & minum,BCA
2025-07-11,Cemilan,3142,EXPENSE,makan & minum,Dompet Tunai
2025-07-11,Kopi Pagi,1086305,EXPENSE,makan & minum,BCA
2025-07-11,Jajan Sore,923428,EXPENSE,makan & minum,Gopay
2025-07-11,Iuran Bulanan,1879988,EXPENSE,tagihan,BCA
2025-07-12,Main Ke Mall,95289,EXPENSE,hiburan,Dompet Tunai
2025-07-12,Lain-lain,980556,EXPENSE,lain-lain,Gopay
2025-07-12,Cemilan,30106,EXPENSE,makan & minum,Gopay
2025-07-12,Indomaret,1734689,EXPENSE,belanja,Dompet Tunai
2025-07-13,Lain-lain,1026486,EXPENSE,lain-lain,Gopay
2025-07-13,Biaya Admin,1727422,EXPENSE,lain-lain,Dompet Tunai
2025-07-13,Lain-lain,142926,EXPENSE,lain-lain,Gopay
2025-07-13,Makan Siang,1855696,EXPENSE,makan & minum,Gopay
2025-07-13,Biaya Admin,1858368,EXPENSE,lain-lain,BCA
2025-07-14,Internet,33615,EXPENSE,tagihan,BCA
2025-07-14,Lain-lain,1225381,EXPENSE,lain-lain,BCA
2025-07-14,Kopi Pagi,1074673,EXPENSE,makan & minum,Dompet Tunai
2025-07-14,Lain-lain,72913,EXPENSE,lain-lain,BCA
2025-07-14,Top up Game,1091966,EXPENSE,hiburan,Dompet Tunai
2025-07-14,Top up Game,1756286,EXPENSE,hiburan,Dompet Tunai
2025-07-14,Biaya Admin,1581572,EXPENSE,lain-lain,Dompet Tunai
2025-07-14,Biaya Admin,1494164,EXPENSE,lain-lain,BCA
2025-07-15,Cemilan,18913,EXPENSE,makan & minum,Dompet Tunai
2025-07-15,Streaming,732501,EXPENSE,hiburan,Dompet Tunai
2025-07-15,Streaming,57076,EXPENSE,hiburan,Dompet Tunai
2025-07-16,Internet,1595478,EXPENSE,tagihan,Dompet Tunai
2025-07-16,Kebutuhan Pokok,431624,EXPENSE,belanja,BCA
2025-07-16,Lain-lain,781234,EXPENSE,lain-lain,Gopay
2025-07-16,Makan Siang,22465,EXPENSE,makan & minum,Dompet Tunai
2025-07-16,Tabungan,13867977,INCOME,goals,BCA
2025-07-17,Internet,246925,EXPENSE,tagihan,BCA
2025-07-17,Lain-lain,1394607,EXPENSE,lain-lain,Gopay
2025-07-17,Alfamart,1764941,EXPENSE,belanja,Gopay
2025-07-18,Top up Game,1434737,EXPENSE,hiburan,BCA
2025-07-18,Indomaret,229674,EXPENSE,belanja,BCA
2025-07-18,Sabun,617108,EXPENSE,belanja,Dompet Tunai
2025-07-19,Iuran Bulanan,754259,EXPENSE,tagihan,BCA
2025-07-19,Lain-lain,1910626,EXPENSE,lain-lain,Dompet Tunai
2025-07-19,Cemilan,418852,EXPENSE,makan & minum,Gopay
2025-07-19,Listrik,92610,EXPENSE,tagihan,BCA
2025-07-19,Jajan Sore,1776026,EXPENSE,makan & minum,BCA
2025-07-19,Gaji Bulanan,12882896,INCOME,gaji,Gopay
2025-07-19,Kebutuhan Pokok,1335849,EXPENSE,belanja,Gopay
2025-07-19,Lain-lain,617327,EXPENSE,lain-lain,Dompet Tunai
2025-07-19,Gaji Bulanan,12408527,INCOME,gaji,Gopay
2025-07-19,Bioskop,144217,EXPENSE,hiburan,Gopay
2025-07-19,Insentif,21873866,INCOME,gaji,Gopay
2025-07-20,Biaya Admin,1806303,EXPENSE,lain-lain,Gopay
2025-07-20,Bioskop,688957,EXPENSE,hiburan,Gopay
2025-07-20,Kebutuhan Pokok,607985,EXPENSE,belanja,BCA
2025-07-20,Makan Siang,911648,EXPENSE,makan & minum,BCA
2025-07-20,Bunga Bank,13235374,INCOME,goals,BCA
2025-07-20,Biaya Admin,41935,EXPENSE,lain-lain,BCA
2025-07-20,Gofood,70978,EXPENSE,makan & minum,BCA
2025-07-20,Lain-lain,755983,EXPENSE,lain-lain,BCA
2025-07-20,Top up Game,806847,EXPENSE,hiburan,Gopay
2025-07-20,Kopi Pagi,233442,EXPENSE,makan & minum,Gopay
2025-07-21,Streaming,112887,EXPENSE,hiburan,Dompet Tunai
2025-07-21,BPJS,1418393,EXPENSE,tagihan,BCA
2025-07-21,Kebutuhan Pokok,270431,EXPENSE,belanja,Dompet Tunai
2025-07-21,Jajan Sore,1028489,EXPENSE,makan & minum,Dompet Tunai
2025-07-21,Kopi Pagi,913468,EXPENSE,makan & minum,BCA
2025-07-22,Parkir,1755174,EXPENSE,tagihan,BCA
2025-07-22,Kopi Pagi,274746,EXPENSE,makan & minum,Gopay
2025-07-22,Lain-lain,921847,EXPENSE,lain-lain,BCA
2025-07-23,Gofood,1607549,EXPENSE,makan & minum,BCA
2025-07-23,Sabun,1640148,EXPENSE,belanja,BCA
2025-07-23,Listrik,1702226,EXPENSE,tagihan,Gopay
2025-07-23,Gofood,1301141,EXPENSE,makan & minum,Gopay
2025-07-23,Jajan Sore,1279089,EXPENSE,makan & minum,BCA
2025-07-23,Streaming,165361,EXPENSE,hiburan,Gopay
2025-07-23,Makan Malam,729368,EXPENSE,makan & minum,Dompet Tunai
2025-07-23,Top up Game,180895,EXPENSE,hiburan,BCA
2025-07-23,Tabungan,4835963,INCOME,goals,BCA
2025-07-23,Lain-lain,61513,EXPENSE,lain-lain,Gopay
2025-07-23,Tissue,1905365,EXPENSE,belanja,BCA
2025-07-23,Lain-lain,142067,EXPENSE,lain-lain,Dompet Tunai
2025-07-24,Tissue,713251,EXPENSE,belanja,Dompet Tunai
2025-07-24,Warung Nasi,1207634,EXPENSE,makan & minum,Gopay
2025-07-24,Listrik,1874702,EXPENSE,tagihan,BCA
2025-07-24,Kopi Pagi,163782,EXPENSE,makan & minum,BCA
2025-07-24,Tissue,202279,EXPENSE,belanja,BCA
2025-07-24,Sabun,1575815,EXPENSE,belanja,Gopay
2025-07-24,Makan Siang,280091,EXPENSE,makan & minum,Dompet Tunai
2025-07-24,Main Ke Mall,1741985,EXPENSE,hiburan,Gopay
2025-07-25,Cemilan,1753828,EXPENSE,makan & minum,Dompet Tunai
2025-07-25,Indomaret,1614274,EXPENSE,belanja,Gopay
2025-07-25,Biaya Admin,1349511,EXPENSE,lain-lain,Dompet Tunai
2025-07-25,Cemilan,1425007,EXPENSE,makan & minum,Gopay
2025-07-26,Pulsa,763964,EXPENSE,tagihan,BCA
2025-07-26,Warung Nasi,1224851,EXPENSE,makan & minum,Gopay
2025-07-26,Lain-lain,532055,EXPENSE,lain-lain,BCA
2025-07-26,Warung Nasi,1294195,EXPENSE,makan & minum,Gopay
2025-07-26,Bioskop,477307,EXPENSE,hiburan,BCA
2025-07-26,Alfamart,825644,EXPENSE,belanja,Gopay
2025-07-26,Investasi,22389838,INCOME,goals,Gopay
2025-07-27,Kebutuhan Pokok,1258336,EXPENSE,belanja,BCA
2025-07-27,Belanja Mingguan,1038919,EXPENSE,belanja,Gopay
2025-07-27,Lain-lain,61988,EXPENSE,lain-lain,Gopay
2025-07-27,Jajan Sore,1208553,EXPENSE,makan & minum,Gopay
2025-07-27,Iuran Bulanan,212205,EXPENSE,tagihan,Dompet Tunai
2025-07-27,Gaji Bulanan,1151324,INCOME,gaji,Gopay
2025-07-27,Lain-lain,561207,EXPENSE,lain-lain,Gopay
2025-07-27,Tabungan,1440977,INCOME,goals,Dompet Tunai
2025-07-28,Biaya Admin,1398468,EXPENSE,lain-lain,Gopay
2025-07-28,Makan Malam,909579,EXPENSE,makan & minum,Gopay
2025-07-28,Makan Siang,75566,EXPENSE,makan & minum,BCA
2025-07-28,Indomaret,939382,EXPENSE,belanja,Gopay
2025-07-28,Top up Game,351629,EXPENSE,hiburan,Dompet Tunai
2025-07-28,Tabungan,1738175,INCOME,goals,BCA
2025-07-28,Sabun,1128395,EXPENSE,belanja,Gopay
2025-07-28,Biaya Admin,1168973,EXPENSE,lain-lain,Gopay
2025-07-29,Jajan Sore,1101128,EXPENSE,makan & minum,Dompet Tunai
2025-07-29,Lain-lain,1569722,EXPENSE,lain-lain,Dompet Tunai
2025-07-29,Kebutuhan Pokok,1539434,EXPENSE,belanja,BCA
2025-07-29,Top up Game,1774639,EXPENSE,hiburan,Dompet Tunai
2025-07-29,Biaya Admin,1230693,EXPENSE,lain-lain,Gopay
2025-07-29,Lain-lain,180759,EXPENSE,lain-lain,BCA
2025-07-29,Alfamart,1893921,EXPENSE,belanja,Dompet Tunai
2025-07-30,Belanja Mingguan,1498746,EXPENSE,belanja,Gopay
2025-07-30,Streaming,1829212,EXPENSE,hiburan,Gopay
2025-07-30,Kopi Pagi,566972,EXPENSE,makan & minum,Gopay
2025-07-30,Jajan Sore,1195543,EXPENSE,makan & minum,Gopay
2025-07-31,Listrik,1767971,EXPENSE,tagihan,BCA
2025-07-31,Makan Malam,910832,EXPENSE,makan & minum,Gopay
2025-07-31,Main Ke Mall,1428437,EXPENSE,hiburan,Dompet Tunai
2025-07-31,Gaji Bulanan,1893145,INCOME,gaji,Dompet Tunai
2025-07-31,Gaji Bulanan,25699729,INCOME,gaji,Dompet Tunai
2025-07-31,BPJS,85404,EXPENSE,tagihan,Gopay
2025-07-31,Lain-lain,692934,EXPENSE,lain-lain,Dompet Tunai
2025-07-31,Biaya Admin,1280147,EXPENSE,lain-lain,Gopay
2025-07-31,Belanja Mingguan,1619375,EXPENSE,belanja,BCA
2025-08-01,Belanja Mingguan,1050,EXPENSE,belanja,Gopay
2025-08-01,Bioskop,1456248,EXPENSE,hiburan,Gopay
2025-08-01,Cemilan,1835422,EXPENSE,makan & minum,Gopay
2025-08-01,Alfamart,292925,EXPENSE,belanja,Gopay
2025-08-01,Top up Game,1257483,EXPENSE,hiburan,Dompet Tunai
2025-08-01,Cashback,4611413,INCOME,goals,Gopay
2025-08-01,Biaya Admin,1734264,EXPENSE,lain-lain,BCA
2025-08-01,BPJS,1338868,EXPENSE,tagihan,Gopay
2025-08-01,Gaji Bulanan,16910493,INCOME,gaji,Gopay
2025-08-02,Jajan Sore,1676787,EXPENSE,makan & minum,BCA
2025-08-02,Pulsa,1729557,EXPENSE,tagihan,BCA
2025-08-02,Gofood,312183,EXPENSE,makan & minum,Gopay
2025-08-02,Gaji Bulanan,15053506,INCOME,gaji,Dompet Tunai
2025-08-02,Alfamart,973821,EXPENSE,belanja,BCA
2025-08-02,Gofood,846499,EXPENSE,makan & minum,Gopay
2025-08-02,Parkir,1595043,EXPENSE,tagihan,Dompet Tunai
2025-08-03,Bioskop,1017685,EXPENSE,hiburan,Gopay
2025-08-03,Alfamart,220825,EXPENSE,belanja,Dompet Tunai
2025-08-03,Lain-lain,464773,EXPENSE,lain-lain,Gopay
2025-08-03,Internet,844467,EXPENSE,tagihan,BCA
2025-08-03,Lain-lain,490502,EXPENSE,lain-lain,Gopay
2025-08-03,Alfamart,452227,EXPENSE,belanja,Dompet Tunai
2025-08-04,Makan Malam,1103525,EXPENSE,makan & minum,Dompet Tunai
2025-08-04,Internet,1737682,EXPENSE,tagihan,Gopay
2025-08-04,Main Ke Mall,379741,EXPENSE,hiburan,BCA
2025-08-04,Main Ke Mall,1022252,EXPENSE,hiburan,Dompet Tunai
2025-08-05,Parkir,486968,EXPENSE,tagihan,BCA
2025-08-05,Lain-lain,1621667,EXPENSE,lain-lain,Dompet Tunai
2025-08-05,Lain-lain,129311,EXPENSE,lain-lain,BCA
2025-08-05,Bunga Bank,567910,INCOME,goals,BCA
2025-08-05,Bonus,17212947,INCOME,gaji,Gopay
2025-08-05,Internet,1113638,EXPENSE,tagihan,Gopay
2025-08-05,Biaya Admin,66696,EXPENSE,lain-lain,Dompet Tunai
2025-08-06,Freelance Project,3979651,INCOME,gaji,BCA
2025-08-06,Top up Game,446551,EXPENSE,hiburan,Gopay
2025-08-06,Top up Game,195149,EXPENSE,hiburan,BCA
2025-08-06,Cemilan,702127,EXPENSE,makan & minum,Dompet Tunai
2025-08-06,Indomaret,1405051,EXPENSE,belanja,BCA
2025-08-07,Bioskop,788537,EXPENSE,hiburan,BCA
2025-08-07,Air,341565,EXPENSE,tagihan,Dompet Tunai
2025-08-07,BPJS,181202,EXPENSE,tagihan,Gopay
2025-08-07,Tissue,1204271,EXPENSE,belanja,BCA
2025-08-07,Main Ke Mall,1178671,EXPENSE,hiburan,Gopay
2025-08-07,Sabun,1560496,EXPENSE,belanja,BCA
2025-08-07,Iuran Bulanan,73144,EXPENSE,tagihan,Gopay
2025-08-07,Jajan Sore,402002,EXPENSE,makan & minum,Dompet Tunai
2025-08-07,Listrik,86850,EXPENSE,tagihan,BCA
2025-08-08,Pulsa,1122791,EXPENSE,tagihan,Dompet Tunai
2025-08-08,Iuran Bulanan,695784,EXPENSE,tagihan,Dompet Tunai
2025-08-08,Kopi Pagi,917642,EXPENSE,makan & minum,Gopay
2025-08-08,Iuran Bulanan,25877,EXPENSE,tagihan,BCA
2025-08-08,Iuran Bulanan,760271,EXPENSE,tagihan,BCA
2025-08-08,Kebutuhan Pokok,1215285,EXPENSE,belanja,Gopay
2025-08-09,Biaya Admin,956517,EXPENSE,lain-lain,BCA
2025-08-09,Biaya Admin,264109,EXPENSE,lain-lain,Gopay
2025-08-09,Lain-lain,881828,EXPENSE,lain-lain,Dompet Tunai
2025-08-09,Biaya Admin,952022,EXPENSE,lain-lain,BCA
2025-08-09,Streaming,1069142,EXPENSE,hiburan,Dompet Tunai
2025-08-09,Tissue,149503,EXPENSE,belanja,Dompet Tunai
2025-08-09,Listrik,170339,EXPENSE,tagihan,BCA
2025-08-09,Insentif,7482224,INCOME,gaji,Gopay
2025-08-10,Sabun,1318223,EXPENSE,belanja,Gopay
2025-08-10,Iuran Bulanan,575376,EXPENSE,tagihan,Gopay
2025-08-10,Parkir,1460232,EXPENSE,tagihan,Gopay
2025-08-10,Warung Nasi,1697288,EXPENSE,makan & minum,Gopay
2025-08-11,Bioskop,76911,EXPENSE,hiburan,BCA
2025-08-11,Lain-lain,499095,EXPENSE,lain-lain,BCA
2025-08-11,Bioskop,1076035,EXPENSE,hiburan,Gopay
2025-08-11,Pulsa,1497841,EXPENSE,tagihan,Dompet Tunai
2025-08-12,Tissue,206057,EXPENSE,belanja,BCA
2025-08-12,Kebutuhan Pokok,1738797,EXPENSE,belanja,Dompet Tunai
2025-08-12,Main Ke Mall,464997,EXPENSE,hiburan,Dompet Tunai
2025-08-12,Biaya Admin,8919,EXPENSE,lain-lain,BCA
2025-08-12,Biaya Admin,1123414,EXPENSE,lain-lain,Dompet Tunai
2025-08-12,Cemilan,1925655,EXPENSE,makan & minum,Gopay
2025-08-12,Biaya Admin,1661085,EXPENSE,lain-lain,Dompet Tunai
2025-08-13,Kebutuhan Pokok,1883199,EXPENSE,belanja,Gopay
2025-08-13,Air,537659,EXPENSE,tagihan,Dompet Tunai
2025-08-13,Streaming,1440599,EXPENSE,hiburan,Gopay
2025-08-13,Makan Siang,464796,EXPENSE,makan & minum,BCA
2025-08-13,Kebutuhan Pokok,1608427,EXPENSE,belanja,Gopay
2025-08-13,Lain-lain,1696675,EXPENSE,lain-lain,Gopay
2025-08-13,Warung Nasi,169669,EXPENSE,makan & minum,BCA
2025-08-13,Main Ke Mall,207289,EXPENSE,hiburan,Gopay
2025-08-13,Top up Game,1298433,EXPENSE,hiburan,BCA
2025-08-14,Pulsa,991327,EXPENSE,tagihan,Gopay
2025-08-14,Iuran Bulanan,218709,EXPENSE,tagihan,BCA
2025-08-14,Investasi,13348703,INCOME,goals,BCA
2025-08-14,Insentif,21660246,INCOME,gaji,Gopay
2025-08-14,Makan Malam,32471,EXPENSE,makan & minum,BCA
2025-08-15,Indomaret,708698,EXPENSE,belanja,BCA
2025-08-15,BPJS,174892,EXPENSE,tagihan,Dompet Tunai
2025-08-15,Lain-lain,1789871,EXPENSE,lain-lain,Dompet Tunai
2025-08-15,Kebutuhan Pokok,1629894,EXPENSE,belanja,Gopay
2025-08-15,Jajan Sore,1688469,EXPENSE,makan & minum,Gopay
2025-08-15,Gaji Bulanan,23326701,INCOME,gaji,Gopay
2025-08-15,Main Ke Mall,1076104,EXPENSE,hiburan,Dompet Tunai
2025-08-15,Investasi,14340542,INCOME,goals,BCA
2025-08-15,Listrik,859096,EXPENSE,tagihan,Gopay
2025-08-16,Listrik,142352,EXPENSE,tagihan,Dompet Tunai
2025-08-16,Biaya Admin,135848,EXPENSE,lain-lain,Dompet Tunai
2025-08-16,Indomaret,1704285,EXPENSE,belanja,Dompet Tunai
2025-08-16,Alfamart,1252056,EXPENSE,belanja,Dompet Tunai
2025-08-17,Parkir,1198936,EXPENSE,tagihan,Dompet Tunai
2025-08-17,Bonus,4627232,INCOME,gaji,Gopay
2025-08-17,Freelance Project,2109257,INCOME,gaji,Gopay
2025-08-17,Top up Game,1584747,EXPENSE,hiburan,BCA
2025-08-17,Bioskop,1202803,EXPENSE,hiburan,BCA
2025-08-18,Alfamart,88097,EXPENSE,belanja,Dompet Tunai
2025-08-18,Cemilan,1039592,EXPENSE,makan & minum,Dompet Tunai
2025-08-18,Iuran Bulanan,1115335,EXPENSE,tagihan,BCA
2025-08-19,Biaya Admin,1605665,EXPENSE,lain-lain,Gopay
2025-08-19,Pulsa,531101,EXPENSE,tagihan,Gopay
2025-08-19,Makan Malam,951911,EXPENSE,makan & minum,Gopay
2025-08-19,Top up Game,979779,EXPENSE,hiburan,Gopay
2025-08-19,Streaming,386709,EXPENSE,hiburan,BCA
2025-08-19,Parkir,1507363,EXPENSE,tagihan,BCA
2025-08-19,Bioskop,621875,EXPENSE,hiburan,BCA
2025-08-19,Gofood,1344629,EXPENSE,makan & minum,BCA
2025-08-20,Makan Siang,1857325,EXPENSE,makan & minum,BCA
2025-08-20,Lain-lain,1540597,EXPENSE,lain-lain,Gopay
2025-08-20,Makan Siang,322853,EXPENSE,makan & minum,Gopay
2025-08-20,Top up Game,82212,EXPENSE,hiburan,Gopay
2025-08-20,Bioskop,38491,EXPENSE,hiburan,Gopay
2025-08-20,Pulsa,366651,EXPENSE,tagihan,Gopay
2025-08-21,Belanja Mingguan,1594275,EXPENSE,belanja,Dompet Tunai
2025-08-21,Tissue,30697,EXPENSE,belanja,Dompet Tunai
2025-08-21,Biaya Admin,1529346,EXPENSE,lain-lain,BCA
2025-08-21,Kebutuhan Pokok,1108471,EXPENSE,belanja,BCA
2025-08-21,Makan Siang,1676615,EXPENSE,makan & minum,BCA
2025-08-21,Biaya Admin,1713023,EXPENSE,lain-lain,BCA
2025-08-22,Tissue,10665,EXPENSE,belanja,BCA
2025-08-22,Lain-lain,1301996,EXPENSE,lain-lain,Gopay
2025-08-22,Indomaret,186354,EXPENSE,belanja,Dompet Tunai
2025-08-22,Parkir,438098,EXPENSE,tagihan,BCA
2025-08-22,Streaming,418967,EXPENSE,hiburan,Gopay
2025-08-22,Alfamart,850348,EXPENSE,belanja,Gopay
2025-08-23,Tissue,1111333,EXPENSE,belanja,Gopay
2025-08-23,Parkir,816281,EXPENSE,tagihan,Gopay
2025-08-23,Top up Game,290522,EXPENSE,hiburan,BCA
2025-08-23,Cashback,11128152,INCOME,goals,Dompet Tunai
2025-08-23,Sabun,509628,EXPENSE,belanja,BCA
2025-08-24,Main Ke Mall,1386142,EXPENSE,hiburan,BCA
2025-08-24,Gofood,614068,EXPENSE,makan & minum,BCA
2025-08-24,Gofood,742493,EXPENSE,makan & minum,Gopay
2025-08-24,Kopi Pagi,890685,EXPENSE,makan & minum,Gopay
2025-08-25,Biaya Admin,759829,EXPENSE,lain-lain,BCA
2025-08-25,Belanja Mingguan,723963,EXPENSE,belanja,Dompet Tunai
2025-08-25,Bioskop,899527,EXPENSE,hiburan,Dompet Tunai
2025-08-25,Air,184828,EXPENSE,tagihan,BCA
2025-08-25,Alfamart,737656,EXPENSE,belanja,Dompet Tunai
2025-08-25,Makan Siang,1390985,EXPENSE,makan & minum,Gopay
2025-08-25,Parkir,85018,EXPENSE,tagihan,Gopay
2025-08-25,Main Ke Mall,262047,EXPENSE,hiburan,BCA
2025-08-25,Investasi,22601729,INCOME,goals,BCA
2025-08-25,Air,400308,EXPENSE,tagihan,Gopay
2025-08-25,Bunga Bank,10981307,INCOME,goals,Gopay
2025-08-25,Lain-lain,846774,EXPENSE,lain-lain,BCA
2025-08-26,Pulsa,1355814,EXPENSE,tagihan,Dompet Tunai
2025-08-26,Belanja Mingguan,1106317,EXPENSE,belanja,BCA
2025-08-26,Kebutuhan Pokok,1748186,EXPENSE,belanja,Gopay
2025-08-26,Main Ke Mall,1563966,EXPENSE,hiburan,Dompet Tunai
2025-08-27,Bioskop,1480423,EXPENSE,hiburan,BCA
2025-08-27,Listrik,1723833,EXPENSE,tagihan,Gopay
2025-08-27,Lain-lain,849208,EXPENSE,lain-lain,Gopay
2025-08-27,Iuran Bulanan,1087946,EXPENSE,tagihan,BCA
2025-08-27,Kopi Pagi,384603,EXPENSE,makan & minum,BCA
2025-08-27,Top up Game,1066852,EXPENSE,hiburan,Gopay
2025-08-27,Indomaret,341472,EXPENSE,belanja,BCA
2025-08-28,Internet,613418,EXPENSE,tagihan,Dompet Tunai
2025-08-28,Alfamart,858922,EXPENSE,belanja,Gopay
2025-08-28,Parkir,571872,EXPENSE,tagihan,Gopay
2025-08-28,Biaya Admin,514027,EXPENSE,lain-lain,Dompet Tunai
2025-08-28,Pulsa,1912936,EXPENSE,tagihan,Gopay
2025-08-28,Air,302655,EXPENSE,tagihan,Dompet Tunai
2025-08-28,Alfamart,1159237,EXPENSE,belanja,BCA
2025-08-28,Cemilan,1455332,EXPENSE,makan & minum,Gopay
2025-08-28,Lain-lain,633346,EXPENSE,lain-lain,BCA
2025-08-28,Cemilan,7431,EXPENSE,makan & minum,BCA
2025-08-28,Bioskop,1298867,EXPENSE,hiburan,BCA
2025-08-28,Sabun,1856447,EXPENSE,belanja,Gopay
2025-08-28,Bunga Bank,2971598,INCOME,goals,BCA
2025-08-28,Kebutuhan Pokok,926968,EXPENSE,belanja,Dompet Tunai
2025-08-28,Listrik,567723,EXPENSE,tagihan,BCA
2025-08-29,Investasi,21518323,INCOME,goals,BCA
2025-08-29,Gaji Bulanan,19820154,INCOME,gaji,Dompet Tunai
2025-08-29,Biaya Admin,1769872,EXPENSE,lain-lain,Gopay
2025-08-29,Bioskop,286703,EXPENSE,hiburan,BCA
2025-08-29,Kebutuhan Pokok,300847,EXPENSE,belanja,BCA
2025-08-29,Top up Game,753541,EXPENSE,hiburan,BCA
2025-08-30,Top up Game,1149742,EXPENSE,hiburan,Gopay
2025-08-30,Kebutuhan Pokok,1069808,EXPENSE,belanja,Dompet Tunai
2025-08-30,Parkir,1360849,EXPENSE,tagihan,Gopay
2025-08-30,Belanja Mingguan,1124157,EXPENSE,belanja,BCA
2025-08-30,Top up Game,999329,EXPENSE,hiburan,BCA
2025-08-30,Bunga Bank,22164309,INCOME,goals,Gopay
2025-08-30,Streaming,1789038,EXPENSE,hiburan,Dompet Tunai
2025-08-30,Main Ke Mall,1329959,EXPENSE,hiburan,Dompet Tunai
2025-08-30,Lain-lain,785117,EXPENSE,lain-lain,Gopay
