"id","tanggal","deskripsi","nominal","tipe","kategori"
"66","2025-06-01","Nonton / Jajan Weekend","294140","Pengeluaran","Gaya Hidup"
"67","2025-06-02","Makan Malam","68584","Pengeluaran","Konsumsi"
"68","2025-06-02","Bensin Motor","32507","Pengeluaran","Transportasi"
"69","2025-06-03","Makan Malam","40512","Pengeluaran","Konsumsi"
"70","2025-06-04","Kopi Senja","45881","Pengeluaran","Konsumsi"
"71","2025-06-04","Gojek","28084","Pengeluaran","Transportasi"
"72","2025-06-05","Makan Siang","71875","Pengeluaran","Konsumsi"
"73","2025-06-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"74","2025-06-06","Makan Siang","64375","Pengeluaran","Konsumsi"
"75","2025-06-06","Gojek","42831","Pengeluaran","Transportasi"
"76","2025-06-07","Makan Siang","60908","Pengeluaran","Konsumsi"
"77","2025-06-07","Nonton / Jajan Weekend","165234","Pengeluaran","Gaya Hidup"
"78","2025-06-08","Makan Siang","47685","Pengeluaran","Konsumsi"
"79","2025-06-08","Gojek","32716","Pengeluaran","Transportasi"
"80","2025-06-08","Nonton / Jajan Weekend","198022","Pengeluaran","Gaya Hidup"
"81","2025-06-09","Makan Siang","75336","Pengeluaran","Konsumsi"
"82","2025-06-10","Makan Siang","45848","Pengeluaran","Konsumsi"
"83","2025-06-10","Bensin Motor","38963","Pengeluaran","Transportasi"
"84","2025-06-11","Kopi Senja","36366","Pengeluaran","Konsumsi"
"85","2025-06-12","Makan Siang","63090","Pengeluaran","Konsumsi"
"86","2025-06-12","Bensin Motor","20909","Pengeluaran","Transportasi"
"87","2025-06-13","Makan Malam","65913","Pengeluaran","Konsumsi"
"88","2025-06-14","Makan Malam","57275","Pengeluaran","Konsumsi"
"89","2025-06-14","Bensin Motor","38599","Pengeluaran","Transportasi"
"90","2025-06-14","Nonton / Jajan Weekend","342384","Pengeluaran","Gaya Hidup"
"91","2025-06-15","Makan Siang","59523","Pengeluaran","Konsumsi"
"92","2025-06-15","Nonton / Jajan Weekend","160933","Pengeluaran","Gaya Hidup"
"93","2025-06-16","Makan Siang","75332","Pengeluaran","Konsumsi"
"94","2025-06-16","Gojek","31919","Pengeluaran","Transportasi"
"95","2025-06-17","Kopi Senja","37721","Pengeluaran","Konsumsi"
"96","2025-06-18","Makan Malam","36661","Pengeluaran","Konsumsi"
"97","2025-06-18","Grab","22142","Pengeluaran","Transportasi"
"98","2025-06-19","Kopi Senja","66589","Pengeluaran","Konsumsi"
"99","2025-06-20","Makan Malam","77796","Pengeluaran","Konsumsi"
"100","2025-06-20","Grab","37873","Pengeluaran","Transportasi"
"101","2025-06-21","Makan Siang","49373","Pengeluaran","Konsumsi"
"102","2025-06-21","Nonton / Jajan Weekend","183701","Pengeluaran","Gaya Hidup"
"103","2025-06-22","Kopi Senja","73242","Pengeluaran","Konsumsi"
"104","2025-06-22","Bensin Motor","32038","Pengeluaran","Transportasi"
"105","2025-06-22","Nonton / Jajan Weekend","164590","Pengeluaran","Gaya Hidup"
"106","2025-06-23","Makan Siang","44355","Pengeluaran","Konsumsi"
"107","2025-06-24","Kopi Senja","62383","Pengeluaran","Konsumsi"
"108","2025-06-24","Bensin Motor","34325","Pengeluaran","Transportasi"
"109","2025-06-25","Makan Siang","40374","Pengeluaran","Konsumsi"
"110","2025-06-26","Kopi Senja","45843","Pengeluaran","Konsumsi"
"111","2025-06-26","Bensin Motor","38523","Pengeluaran","Transportasi"
"112","2025-06-27","Makan Siang","49634","Pengeluaran","Konsumsi"
"113","2025-06-28","Makan Malam","50394","Pengeluaran","Konsumsi"
"114","2025-06-28","Bensin Motor","37564","Pengeluaran","Transportasi"
"115","2025-06-28","Nonton / Jajan Weekend","311916","Pengeluaran","Gaya Hidup"
"116","2025-06-29","Makan Siang","79839","Pengeluaran","Konsumsi"
"117","2025-06-29","Nonton / Jajan Weekend","176441","Pengeluaran","Gaya Hidup"
"118","2025-06-30","Bonus / Cashback","182104","Pemasukan","Pendapatan"
"119","2025-06-30","Makan Siang","55657","Pengeluaran","Konsumsi"
"120","2025-06-30","Bensin Motor","20406","Pengeluaran","Transportasi"
"121","2025-07-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"122","2025-07-01","Kopi Senja","44150","Pengeluaran","Konsumsi"
"123","2025-07-02","Kopi Senja","37237","Pengeluaran","Konsumsi"
"124","2025-07-02","Gojek","22557","Pengeluaran","Transportasi"
"125","2025-07-03","Makan Malam","39689","Pengeluaran","Konsumsi"
"126","2025-07-04","Makan Siang","59486","Pengeluaran","Konsumsi"
"127","2025-07-04","Gojek","40241","Pengeluaran","Transportasi"
"128","2025-07-05","Makan Malam","55911","Pengeluaran","Konsumsi"
"129","2025-07-05","Nonton / Jajan Weekend","330421","Pengeluaran","Gaya Hidup"
"130","2025-07-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"131","2025-07-06","Kopi Senja","43122","Pengeluaran","Konsumsi"
"132","2025-07-06","Gojek","33359","Pengeluaran","Transportasi"
"133","2025-07-06","Nonton / Jajan Weekend","252899","Pengeluaran","Gaya Hidup"
"134","2025-07-07","Makan Malam","37482","Pengeluaran","Konsumsi"
"135","2025-07-08","Makan Siang","43028","Pengeluaran","Konsumsi"
"136","2025-07-08","Gojek","23544","Pengeluaran","Transportasi"
"137","2025-07-09","Makan Malam","38625","Pengeluaran","Konsumsi"
"138","2025-07-10","Makan Siang","39575","Pengeluaran","Konsumsi"
"139","2025-07-10","Grab","39561","Pengeluaran","Transportasi"
"140","2025-07-11","Makan Siang","78474","Pengeluaran","Konsumsi"
"141","2025-07-12","Makan Siang","68444","Pengeluaran","Konsumsi"
"142","2025-07-12","Gojek","40832","Pengeluaran","Transportasi"
"143","2025-07-12","Nonton / Jajan Weekend","222964","Pengeluaran","Gaya Hidup"
"144","2025-07-13","Makan Malam","39338","Pengeluaran","Konsumsi"
"145","2025-07-13","Nonton / Jajan Weekend","178934","Pengeluaran","Gaya Hidup"
"146","2025-07-14","Kopi Senja","74107","Pengeluaran","Konsumsi"
"147","2025-07-14","Gojek","25868","Pengeluaran","Transportasi"
"148","2025-07-15","Makan Siang","38904","Pengeluaran","Konsumsi"
"149","2025-07-16","Kopi Senja","45788","Pengeluaran","Konsumsi"
"150","2025-07-16","Grab","24373","Pengeluaran","Transportasi"
"151","2025-07-17","Makan Siang","78078","Pengeluaran","Konsumsi"
"152","2025-07-18","Kopi Senja","56298","Pengeluaran","Konsumsi"
"153","2025-07-18","Gojek","33005","Pengeluaran","Transportasi"
"154","2025-07-19","Makan Malam","41258","Pengeluaran","Konsumsi"
"155","2025-07-19","Nonton / Jajan Weekend","251513","Pengeluaran","Gaya Hidup"
"156","2025-07-20","Kopi Senja","56878","Pengeluaran","Konsumsi"
"157","2025-07-20","Grab","33843","Pengeluaran","Transportasi"
"158","2025-07-20","Nonton / Jajan Weekend","331497","Pengeluaran","Gaya Hidup"
"159","2025-07-21","Makan Malam","70493","Pengeluaran","Konsumsi"
"160","2025-07-22","Makan Malam","36572","Pengeluaran","Konsumsi"
"161","2025-07-22","Bensin Motor","42353","Pengeluaran","Transportasi"
"162","2025-07-23","Makan Siang","42759","Pengeluaran","Konsumsi"
"163","2025-07-24","Makan Malam","69845","Pengeluaran","Konsumsi"
"164","2025-07-24","Gojek","41701","Pengeluaran","Transportasi"
"165","2025-07-25","Kopi Senja","78091","Pengeluaran","Konsumsi"
"166","2025-07-26","Makan Malam","57978","Pengeluaran","Konsumsi"
"167","2025-07-26","Gojek","31199","Pengeluaran","Transportasi"
"168","2025-07-26","Nonton / Jajan Weekend","302830","Pengeluaran","Gaya Hidup"
"169","2025-07-27","Kopi Senja","77341","Pengeluaran","Konsumsi"
"170","2025-07-27","Nonton / Jajan Weekend","276548","Pengeluaran","Gaya Hidup"
"171","2025-07-28","Makan Malam","65971","Pengeluaran","Konsumsi"
"172","2025-07-28","Gojek","31648","Pengeluaran","Transportasi"
"173","2025-07-29","Makan Malam","51838","Pengeluaran","Konsumsi"
"174","2025-07-30","Bonus / Cashback","172034","Pemasukan","Pendapatan"
"175","2025-07-30","Makan Malam","47505","Pengeluaran","Konsumsi"
"176","2025-07-30","Grab","41243","Pengeluaran","Transportasi"
"177","2025-07-31","Makan Malam","35706","Pengeluaran","Konsumsi"
"178","2025-08-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"179","2025-08-01","Makan Siang","52834","Pengeluaran","Konsumsi"
"180","2025-08-02","Makan Malam","37826","Pengeluaran","Konsumsi"
"181","2025-08-02","Gojek","35426","Pengeluaran","Transportasi"
"182","2025-08-02","Nonton / Jajan Weekend","346593","Pengeluaran","Gaya Hidup"
"183","2025-08-03","Kopi Senja","36166","Pengeluaran","Konsumsi"
"184","2025-08-03","Nonton / Jajan Weekend","309698","Pengeluaran","Gaya Hidup"
"185","2025-08-04","Makan Siang","72588","Pengeluaran","Konsumsi"
"186","2025-08-04","Grab","35524","Pengeluaran","Transportasi"
"187","2025-08-05","Makan Siang","41158","Pengeluaran","Konsumsi"
"188","2025-08-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"189","2025-08-06","Kopi Senja","62442","Pengeluaran","Konsumsi"
"190","2025-08-06","Bensin Motor","43069","Pengeluaran","Transportasi"
"191","2025-08-07","Kopi Senja","76295","Pengeluaran","Konsumsi"
"192","2025-08-08","Makan Malam","36312","Pengeluaran","Konsumsi"
"193","2025-08-08","Gojek","38423","Pengeluaran","Transportasi"
"194","2025-08-09","Makan Siang","44256","Pengeluaran","Konsumsi"
"195","2025-08-09","Nonton / Jajan Weekend","324165","Pengeluaran","Gaya Hidup"
"196","2025-08-10","Kopi Senja","72776","Pengeluaran","Konsumsi"
"197","2025-08-10","Gojek","34025","Pengeluaran","Transportasi"
"198","2025-08-10","Nonton / Jajan Weekend","305387","Pengeluaran","Gaya Hidup"
"199","2025-08-11","Kopi Senja","62216","Pengeluaran","Konsumsi"
"200","2025-08-12","Makan Siang","76506","Pengeluaran","Konsumsi"
"201","2025-08-12","Bensin Motor","34606","Pengeluaran","Transportasi"
"202","2025-08-13","Makan Siang","49338","Pengeluaran","Konsumsi"
"203","2025-08-14","Makan Siang","46693","Pengeluaran","Konsumsi"
"204","2025-08-14","Gojek","34280","Pengeluaran","Transportasi"
"205","2025-08-15","Makan Malam","67100","Pengeluaran","Konsumsi"
"206","2025-08-16","Makan Malam","50481","Pengeluaran","Konsumsi"
"207","2025-08-16","Bensin Motor","24843","Pengeluaran","Transportasi"
"208","2025-08-16","Nonton / Jajan Weekend","344237","Pengeluaran","Gaya Hidup"
"209","2025-08-17","Makan Malam","76297","Pengeluaran","Konsumsi"
"210","2025-08-17","Nonton / Jajan Weekend","203121","Pengeluaran","Gaya Hidup"
"211","2025-08-18","Makan Siang","58119","Pengeluaran","Konsumsi"
"212","2025-08-18","Grab","24972","Pengeluaran","Transportasi"
"213","2025-08-19","Makan Malam","41353","Pengeluaran","Konsumsi"
"214","2025-08-20","Makan Malam","46268","Pengeluaran","Konsumsi"
"215","2025-08-20","Bensin Motor","25627","Pengeluaran","Transportasi"
"216","2025-08-21","Kopi Senja","70130","Pengeluaran","Konsumsi"
"217","2025-08-22","Makan Siang","74655","Pengeluaran","Konsumsi"
"218","2025-08-22","Grab","42778","Pengeluaran","Transportasi"
"219","2025-08-23","Makan Malam","45403","Pengeluaran","Konsumsi"
"220","2025-08-23","Nonton / Jajan Weekend","215468","Pengeluaran","Gaya Hidup"
"221","2025-08-24","Kopi Senja","62763","Pengeluaran","Konsumsi"
"222","2025-08-24","Grab","25224","Pengeluaran","Transportasi"
"223","2025-08-24","Nonton / Jajan Weekend","230777","Pengeluaran","Gaya Hidup"
"224","2025-08-25","Makan Malam","40618","Pengeluaran","Konsumsi"
"225","2025-08-26","Makan Malam","53940","Pengeluaran","Konsumsi"
"226","2025-08-26","Gojek","30566","Pengeluaran","Transportasi"
"227","2025-08-27","Makan Siang","77334","Pengeluaran","Konsumsi"
"228","2025-08-28","Makan Siang","46055","Pengeluaran","Konsumsi"
"229","2025-08-28","Bensin Motor","33151","Pengeluaran","Transportasi"
"230","2025-08-29","Kopi Senja","61035","Pengeluaran","Konsumsi"
"231","2025-08-30","Makan Siang","49469","Pengeluaran","Konsumsi"
"232","2025-08-30","Gojek","25791","Pengeluaran","Transportasi"
"233","2025-08-30","Nonton / Jajan Weekend","155323","Pengeluaran","Gaya Hidup"
"234","2025-08-31","Kopi Senja","75307","Pengeluaran","Konsumsi"
"235","2025-08-31","Nonton / Jajan Weekend","348163","Pengeluaran","Gaya Hidup"
"236","2025-09-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"237","2025-09-01","Kopi Senja","68807","Pengeluaran","Konsumsi"
"238","2025-09-02","Kopi Senja","79935","Pengeluaran","Konsumsi"
"239","2025-09-02","Grab","41196","Pengeluaran","Transportasi"
"240","2025-09-03","Makan Siang","68888","Pengeluaran","Konsumsi"
"241","2025-09-04","Makan Malam","47598","Pengeluaran","Konsumsi"
"242","2025-09-04","Gojek","44849","Pengeluaran","Transportasi"
"243","2025-09-05","Makan Siang","37048","Pengeluaran","Konsumsi"
"244","2025-09-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"245","2025-09-06","Makan Malam","70469","Pengeluaran","Konsumsi"
"246","2025-09-06","Bensin Motor","24747","Pengeluaran","Transportasi"
"247","2025-09-06","Nonton / Jajan Weekend","278710","Pengeluaran","Gaya Hidup"
"248","2025-09-07","Makan Siang","45099","Pengeluaran","Konsumsi"
"249","2025-09-07","Nonton / Jajan Weekend","238128","Pengeluaran","Gaya Hidup"
"250","2025-09-08","Makan Siang","77971","Pengeluaran","Konsumsi"
"251","2025-09-08","Grab","22545","Pengeluaran","Transportasi"
"252","2025-09-09","Makan Siang","44653","Pengeluaran","Konsumsi"
"253","2025-09-10","Makan Siang","42106","Pengeluaran","Konsumsi"
"254","2025-09-10","Grab","43792","Pengeluaran","Transportasi"
"255","2025-09-11","Makan Siang","40409","Pengeluaran","Konsumsi"
"256","2025-09-12","Makan Malam","43300","Pengeluaran","Konsumsi"
"257","2025-09-12","Gojek","41802","Pengeluaran","Transportasi"
"258","2025-09-13","Makan Malam","48952","Pengeluaran","Konsumsi"
"259","2025-09-13","Nonton / Jajan Weekend","211613","Pengeluaran","Gaya Hidup"
"260","2025-09-14","Makan Malam","60755","Pengeluaran","Konsumsi"
"261","2025-09-14","Bensin Motor","27945","Pengeluaran","Transportasi"
"262","2025-09-14","Nonton / Jajan Weekend","231118","Pengeluaran","Gaya Hidup"
"263","2025-09-15","Makan Malam","67803","Pengeluaran","Konsumsi"
"264","2025-09-16","Makan Malam","69713","Pengeluaran","Konsumsi"
"265","2025-09-16","Grab","35404","Pengeluaran","Transportasi"
"266","2025-09-17","Kopi Senja","52624","Pengeluaran","Konsumsi"
"267","2025-09-18","Makan Malam","58909","Pengeluaran","Konsumsi"
"268","2025-09-18","Gojek","23774","Pengeluaran","Transportasi"
"269","2025-09-19","Makan Siang","36628","Pengeluaran","Konsumsi"
"270","2025-09-20","Makan Siang","44314","Pengeluaran","Konsumsi"
"271","2025-09-20","Gojek","40444","Pengeluaran","Transportasi"
"272","2025-09-20","Nonton / Jajan Weekend","200971","Pengeluaran","Gaya Hidup"
"273","2025-09-21","Kopi Senja","55560","Pengeluaran","Konsumsi"
"274","2025-09-21","Nonton / Jajan Weekend","163536","Pengeluaran","Gaya Hidup"
"275","2025-09-22","Bonus / Cashback","105438","Pemasukan","Pendapatan"
"276","2025-09-22","Makan Malam","61890","Pengeluaran","Konsumsi"
"277","2025-09-22","Bensin Motor","27988","Pengeluaran","Transportasi"
"278","2025-09-23","Makan Malam","69765","Pengeluaran","Konsumsi"
"279","2025-09-24","Makan Siang","38480","Pengeluaran","Konsumsi"
"280","2025-09-24","Grab","43898","Pengeluaran","Transportasi"
"281","2025-09-25","Kopi Senja","71760","Pengeluaran","Konsumsi"
"282","2025-09-26","Makan Siang","43917","Pengeluaran","Konsumsi"
"283","2025-09-26","Grab","30111","Pengeluaran","Transportasi"
"284","2025-09-27","Kopi Senja","70548","Pengeluaran","Konsumsi"
"285","2025-09-27","Nonton / Jajan Weekend","259954","Pengeluaran","Gaya Hidup"
"286","2025-09-28","Makan Siang","47789","Pengeluaran","Konsumsi"
"287","2025-09-28","Gojek","24610","Pengeluaran","Transportasi"
"288","2025-09-28","Nonton / Jajan Weekend","193117","Pengeluaran","Gaya Hidup"
"289","2025-09-29","Makan Siang","74959","Pengeluaran","Konsumsi"
"290","2025-09-30","Kopi Senja","38681","Pengeluaran","Konsumsi"
"291","2025-09-30","Grab","29762","Pengeluaran","Transportasi"
"292","2025-10-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"293","2025-10-01","Makan Malam","48637","Pengeluaran","Konsumsi"
"294","2025-10-02","Makan Malam","54873","Pengeluaran","Konsumsi"
"295","2025-10-02","Gojek","20169","Pengeluaran","Transportasi"
"296","2025-10-03","Kopi Senja","49871","Pengeluaran","Konsumsi"
"297","2025-10-04","Makan Malam","44579","Pengeluaran","Konsumsi"
"298","2025-10-04","Gojek","34117","Pengeluaran","Transportasi"
"299","2025-10-04","Nonton / Jajan Weekend","221741","Pengeluaran","Gaya Hidup"
"300","2025-10-05","Makan Malam","45558","Pengeluaran","Konsumsi"
"301","2025-10-05","Nonton / Jajan Weekend","162609","Pengeluaran","Gaya Hidup"
"302","2025-10-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"303","2025-10-06","Makan Malam","54970","Pengeluaran","Konsumsi"
"304","2025-10-06","Grab","37813","Pengeluaran","Transportasi"
"305","2025-10-07","Makan Malam","62183","Pengeluaran","Konsumsi"
"306","2025-10-08","Makan Siang","74428","Pengeluaran","Konsumsi"
"307","2025-10-08","Grab","23942","Pengeluaran","Transportasi"
"308","2025-10-09","Bonus / Cashback","140073","Pemasukan","Pendapatan"
"309","2025-10-09","Kopi Senja","43050","Pengeluaran","Konsumsi"
"310","2025-10-10","Kopi Senja","78326","Pengeluaran","Konsumsi"
"311","2025-10-10","Gojek","41426","Pengeluaran","Transportasi"
"312","2025-10-11","Makan Malam","56098","Pengeluaran","Konsumsi"
"313","2025-10-11","Nonton / Jajan Weekend","319532","Pengeluaran","Gaya Hidup"
"314","2025-10-12","Makan Siang","58107","Pengeluaran","Konsumsi"
"315","2025-10-12","Bensin Motor","32551","Pengeluaran","Transportasi"
"316","2025-10-12","Nonton / Jajan Weekend","277732","Pengeluaran","Gaya Hidup"
"317","2025-10-13","Makan Malam","45584","Pengeluaran","Konsumsi"
"318","2025-10-14","Makan Malam","39993","Pengeluaran","Konsumsi"
"319","2025-10-14","Gojek","29372","Pengeluaran","Transportasi"
"320","2025-10-15","Makan Siang","45892","Pengeluaran","Konsumsi"
"321","2025-10-16","Makan Siang","53168","Pengeluaran","Konsumsi"
"322","2025-10-16","Gojek","24653","Pengeluaran","Transportasi"
"323","2025-10-17","Makan Malam","37231","Pengeluaran","Konsumsi"
"324","2025-10-18","Makan Malam","41605","Pengeluaran","Konsumsi"
"325","2025-10-18","Bensin Motor","35880","Pengeluaran","Transportasi"
"326","2025-10-18","Nonton / Jajan Weekend","256447","Pengeluaran","Gaya Hidup"
"327","2025-10-19","Kopi Senja","72476","Pengeluaran","Konsumsi"
"328","2025-10-19","Nonton / Jajan Weekend","309321","Pengeluaran","Gaya Hidup"
"329","2025-10-20","Makan Siang","61927","Pengeluaran","Konsumsi"
"330","2025-10-20","Gojek","35431","Pengeluaran","Transportasi"
"331","2025-10-21","Kopi Senja","52911","Pengeluaran","Konsumsi"
"332","2025-10-22","Makan Malam","67812","Pengeluaran","Konsumsi"
"333","2025-10-22","Grab","26508","Pengeluaran","Transportasi"
"334","2025-10-23","Makan Malam","35977","Pengeluaran","Konsumsi"
"335","2025-10-24","Makan Siang","65368","Pengeluaran","Konsumsi"
"336","2025-10-24","Bensin Motor","36451","Pengeluaran","Transportasi"
"337","2025-10-25","Kopi Senja","54240","Pengeluaran","Konsumsi"
"338","2025-10-25","Nonton / Jajan Weekend","212274","Pengeluaran","Gaya Hidup"
"339","2025-10-26","Makan Siang","76914","Pengeluaran","Konsumsi"
"340","2025-10-26","Bensin Motor","21048","Pengeluaran","Transportasi"
"341","2025-10-26","Nonton / Jajan Weekend","325809","Pengeluaran","Gaya Hidup"
"342","2025-10-27","Makan Siang","44382","Pengeluaran","Konsumsi"
"343","2025-10-28","Makan Malam","65692","Pengeluaran","Konsumsi"
"344","2025-10-28","Bensin Motor","33306","Pengeluaran","Transportasi"
"345","2025-10-29","Makan Malam","77371","Pengeluaran","Konsumsi"
"346","2025-10-30","Kopi Senja","45277","Pengeluaran","Konsumsi"
"347","2025-10-30","Grab","37530","Pengeluaran","Transportasi"
"348","2025-10-31","Makan Malam","74427","Pengeluaran","Konsumsi"
"349","2025-11-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"350","2025-11-01","Kopi Senja","73943","Pengeluaran","Konsumsi"
"351","2025-11-01","Nonton / Jajan Weekend","312296","Pengeluaran","Gaya Hidup"
"352","2025-11-02","Kopi Senja","38642","Pengeluaran","Konsumsi"
"353","2025-11-02","Gojek","29830","Pengeluaran","Transportasi"
"354","2025-11-02","Nonton / Jajan Weekend","204212","Pengeluaran","Gaya Hidup"
"355","2025-11-03","Makan Siang","39054","Pengeluaran","Konsumsi"
"356","2025-11-04","Makan Malam","42936","Pengeluaran","Konsumsi"
"357","2025-11-04","Grab","25999","Pengeluaran","Transportasi"
"358","2025-11-05","Kopi Senja","79120","Pengeluaran","Konsumsi"
"359","2025-11-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"360","2025-11-06","Makan Siang","57554","Pengeluaran","Konsumsi"
"361","2025-11-06","Bensin Motor","28477","Pengeluaran","Transportasi"
"362","2025-11-07","Makan Siang","46338","Pengeluaran","Konsumsi"
"363","2025-11-08","Kopi Senja","66073","Pengeluaran","Konsumsi"
"364","2025-11-08","Grab","22120","Pengeluaran","Transportasi"
"365","2025-11-08","Nonton / Jajan Weekend","296981","Pengeluaran","Gaya Hidup"
"366","2025-11-09","Makan Siang","47820","Pengeluaran","Konsumsi"
"367","2025-11-09","Nonton / Jajan Weekend","181291","Pengeluaran","Gaya Hidup"
"368","2025-11-10","Kopi Senja","56181","Pengeluaran","Konsumsi"
"369","2025-11-10","Gojek","27618","Pengeluaran","Transportasi"
"370","2025-11-11","Makan Malam","76720","Pengeluaran","Konsumsi"
"371","2025-11-12","Makan Malam","64087","Pengeluaran","Konsumsi"
"372","2025-11-12","Grab","24395","Pengeluaran","Transportasi"
"373","2025-11-13","Kopi Senja","55034","Pengeluaran","Konsumsi"
"374","2025-11-14","Makan Malam","37601","Pengeluaran","Konsumsi"
"375","2025-11-14","Gojek","36540","Pengeluaran","Transportasi"
"376","2025-11-15","Makan Malam","38846","Pengeluaran","Konsumsi"
